cnt, cg_residual
1415,5.23309e-08
1416,5.36292e-08
1417,5.25284e-08
1418,5.18156e-08
1419,5.11216e-08
1420,4.91341e-08
1421,4.96967e-08
1422,4.92125e-08
1423,4.26557e-08
1424,4.75974e-08
1425,4.18336e-08
1426,4.5039e-08
1427,4.68154e-08
1428,3.95156e-08
1429,4.78811e-08
1430,4.85618e-08
1431,4.8253e-08
1432,4.54453e-08
1433,4.32378e-08
1434,4.25294e-08
1435,3.83781e-08
1436,4.29568e-08
1437,4.47898e-08
1438,4.33034e-08
1439,3.75034e-08
1440,4.07501e-08
1441,4.03609e-08
1442,4.1466e-08
1443,3.62886e-08
1444,3.88512e-08
1445,3.8775e-08
1446,3.83761e-08
1447,3.75932e-08
1448,3.84003e-08
1449,3.64266e-08
1450,3.46895e-08
1451,2.88813e-08
1452,3.44668e-08
1453,3.38588e-08
1454,3.2609e-08
1455,3.12474e-08
1456,3.02601e-08
1457,3.17384e-08
1458,3.18497e-08
1459,2.9744e-08
1460,3.16041e-08
1461,3.12218e-08
1462,3.05867e-08
1463,2.99918e-08
1464,3.00918e-08
1465,3.02228e-08
1466,2.89623e-08
1467,2.76433e-08
1468,2.83763e-08
1469,2.90444e-08
1470,2.73094e-08
1471,2.61117e-08
1472,2.37975e-08
1473,2.56448e-08
1474,2.52958e-08
1475,2.32862e-08
1476,2.5093e-08
1477,2.46818e-08
1478,2.37622e-08
1479,2.2411e-08
1480,2.15616e-08
1481,2.24774e-08
1482,2.22361e-08
1483,2.20618e-08
1484,2.19416e-08
1485,2.172e-08
1486,2.1464e-08
1487,2.03494e-08
1488,1.99515e-08
1489,2.03197e-08
1490,1.95854e-08
1491,1.98831e-08
1492,2.00304e-08
1493,1.95055e-08
1494,1.87864e-08
1495,1.83349e-08
1496,1.76575e-08
1497,1.75016e-08
1498,1.6717e-08
1499,1.73388e-08
1500,1.69897e-08
1501,1.66514e-08
1502,1.63081e-08
1503,1.57854e-08
1504,1.45269e-08
1505,1.57154e-08
1506,1.3345e-08
1507,1.56389e-08
1508,1.51828e-08
1509,1.47898e-08
1510,1.46123e-08
1511,1.45597e-08
1512,1.4122e-08
1513,1.34741e-08
1514,1.35075e-08
1515,1.3335e-08
1516,1.30732e-08
1517,1.24792e-08
1518,1.18546e-08
1519,1.09057e-08
1520,1.178e-08
1521,1.19711e-08
1522,1.20536e-08
1523,1.20333e-08
1524,1.1774e-08
1525,1.13418e-08
